Chr	start	end	gene	depth	R-181110-535748-BLD-521005_BC_E18111112-3-DNA_F1811112948-16_L181111-00002-A5_20181113-C12_panel12_P181114419-3_sample20181114-A3-A00168-log2_ND
chr1	2488056	2488211	TNFRSF14	1373	0.21224924
chr1	2489141	2489313	TNFRSF14	1272	-0.17275781
chr1	2489756	2489932	TNFRSF14	1605	0.00078986864
chr1	2490291	2491438	TNFRSF14	10214	-0.62079779
chr1	2492036	2492175	TNFRSF14	844	-0.48748121
chr1	2492906	2493294	TNFRSF14	3199	-0.47822662
chr1	2494241	2494376	TNFRSF14	1709	0.4693677
chr1	2494556	2494729	TNFRSF14	1698	0.14287161
chr1	8073238	8073699	ERRFI1	6379	0.57427202
chr1	8073713	8074483	ERRFI1	8263	-0.12079262
chr1	8075343	8075480	ERRFI1	1086	1.1497125
chr1	8075523	8075707	ERRFI1	1525	0.71844018
chr1	11166635	11167580	MTOR	6391	-0.096666546
chr1	11168205	11168364	MTOR	1156	0.2220978
chr1	11169315	11169445	MTOR	861	1.3040712
chr1	11169675	11169815	MTOR	1234	0.73347453
chr1	11172865	11173001	MTOR	1367	0.10136793
chr1	11174350	11174539	MTOR	1394	-0.27302894
chr1	11174835	11174979	MTOR	1081	1.4954752
chr1	11175415	11175563	MTOR	1406	0.20550661
chr1	11177030	11177163	MTOR	311	0.23195166
chr1	11181270	11181471	MTOR	1200	-0.57619645
chr1	11182010	11182220	MTOR	2400	0.23068919
chr1	11184525	11184702	MTOR	1630	0.20561098
chr1	11186655	11186862	MTOR	1832	0.13483456
chr1	11187035	11187228	MTOR	2208	0.4401599
chr1	11187645	11187907	MTOR	2432	-0.022631748
chr1	11188030	11188214	MTOR	1889	0.19598823
chr1	11188475	11188625	MTOR	1079	-0.13456169
chr1	11188885	11189020	MTOR	930	0.011304981
chr1	11189770	11189904	MTOR	1334	0.10118956
chr1	11190550	11190876	MTOR	4869	0.45853913
chr1	11193105	11193296	MTOR	2265	0.4193371
chr1	11194385	11194566	MTOR	1554	-0.092464552
chr1	11199325	11199503	MTOR	1785	0.37243662
chr1	11199555	11199744	MTOR	1568	-0.10058648
chr1	11204670	11204856	MTOR	1846	0.1574622
chr1	11204990	11205138	MTOR	958	-0.30258864
chr1	11206705	11206859	MTOR	1080	-0.20164325
chr1	11210160	11210300	MTOR	1238	-0.057464223
chr1	11217180	11217359	MTOR	2409	0.5262723
chr1	11227465	11227598	MTOR	513	-0.73280816
chr1	11259290	11259503	MTOR	1853	-0.10954989
chr1	11259575	11259789	MTOR	2390	0.51417864
chr1	11264585	11264802	MTOR	1318	-0.68124463
chr1	11269345	11269553	MTOR	2437	0.74017841
chr1	11270845	11270977	MTOR	372	0.50287311
chr1	11272335	11272558	MTOR	2024	-0.11942307
chr1	11272820	11273006	MTOR	955	-0.6577326
chr1	11273420	11273653	MTOR	1257	-0.57790185
chr1	11276170	11276312	MTOR	822	0.34749529
chr1	11288695	11289019	MTOR	3004	-0.16889789
chr1	11290950	11291125	MTOR	1886	0.20986021
chr1	11291325	11291521	MTOR	1571	-0.072413574
chr1	11292465	11292600	MTOR	562	0.49103236
chr1	11293420	11293565	MTOR	329	-0.51856139
chr1	11294165	11294360	MTOR	1028	-0.74818138
chr1	11297875	11298133	MTOR	2197	-0.20210854
chr1	11298430	11298713	MTOR	2407	-0.21101748
chr1	11300325	11300615	MTOR	2558	-0.24202727
chr1	11301575	11301777	MTOR	1058	-0.76018061
chr1	11303140	11303395	MTOR	2238	-0.12658591
chr1	11307655	11307831	MTOR	1908	0.28912511
chr1	11307845	11308173	MTOR	3487	-0.047021979
chr1	11313870	11314046	MTOR	2620	0.64725709
chr1	11316025	11316416	MTOR	2350	-0.97539631
chr1	11316965	11317242	MTOR	2443	-0.11634036
chr1	11318520	11318695	MTOR	863	1.0273206
chr1	11319275	11319494	MTOR	2985	0.48934723
chr1	11854405	11854540	rs1801131	1557	0.34346226
chr1	11856295	11856442	rs1801133	1173	-0.10009017
chr1	13940287	13940366	PDPN	49	-2.0992602
chr1	16174529	16174663	SPEN	905	-0.33503538
chr1	16199279	16200902	SPEN	7011	0.50552042
chr1	16202674	16203200	SPEN	3667	-0.86808988
chr1	16235794	16236007	SPEN	1358	-0.067333334
chr1	16237569	16237827	SPEN	391	-0.12946671
chr1	16242599	16242803	SPEN	268	-0.62403072
chr1	16245399	16245574	SPEN	41	-1.0581041
chr1	16245874	16246038	SPEN	649	-0.4091523
chr1	16247354	16247492	SPEN	667	0.75171582
chr1	16248734	16248872	SPEN	59	-1.0455699
chr1	16254564	16257510	SPEN	17525	0.52179036
chr1	16257524	16262465	SPEN	52105	1.1712483
chr1	16262474	16262799	SPEN	3216	0.019330688
chr1	16263624	16264155	SPEN	7667	0.15923408
chr1	16264274	16264534	SPEN	2132	-0.20249321
chr1	16265189	16265405	SPEN	1966	-0.11280599
chr1	16265764	16265956	SPEN	2234	0.39593468
chr1	17345333	17345454	SDHB	86	-1.2975309
chr1	17349078	17349268	SDHB	1616	-0.056803025
chr1	17350433	17350584	SDHB	768	-0.76113223
chr1	17354218	17354360	SDHB	491	0.73823224
chr1	17355073	17355252	SDHB	1472	0.45307745
chr1	17359523	17359658	SDHB	498	1.0001566
chr1	17371233	17371400	SDHB	908	-0.29174375
chr1	17380403	17380537	SDHB	704	-0.61738398
chr1	20915618	20915762	rs2072671	1218	-0.012575251
chr1	20931403	20931539	rs60369023	1077	-0.23576994
chr1	21307663	21307735	EIF4G3	173	-2.224058
chr1	21307753	21307820	EIF4G3	54	1.0377304
chr1	23885407	23885541	ID3	1576	0.3599126
chr1	23885582	23885943	ID3	3581	-0.052542395
chr1	26227526	26227597	STMN1	452	0.18009343
chr1	26227621	26227690	STMN1	473	-0.69577032
chr1	27022861	27022937	ARID1A	258	-1.2272349
chr1	27022946	27024052	ARID1A	4737	-1.4239022
chr1	27056106	27056397	ARID1A	2479	-0.30066442
chr1	27057621	27058114	ARID1A	6930	0.12135658
chr1	27059131	27059315	ARID1A	1359	-0.13847913
chr1	27087321	27087604	ARID1A	2582	-0.14273411
chr1	27087841	27087988	ARID1A	806	-0.67047896
chr1	27088611	27088831	ARID1A	1837	-0.20236562
chr1	27089431	27089786	ARID1A	2895	-0.4484306
chr1	27092686	27092893	ARID1A	2070	0.20650917
chr1	27092926	27093095	ARID1A	1828	1.2762853
chr1	27094256	27094498	ARID1A	2612	0.32219814
chr1	27097581	27097828	ARID1A	1829	-0.28140974
chr1	27098956	27099140	ARID1A	2583	0.64960826
chr1	27099276	27099503	ARID1A	2100	0.36182247
chr1	27099801	27100019	ARID1A	2743	0.40691536
chr1	27100036	27100196	ARID1A	2587	0.91515719
chr1	27100256	27100416	ARID1A	1604	0.25177129
chr1	27100796	27101744	ARID1A	7017	-1.0008411
chr1	27102041	27102228	ARID1A	1541	-0.053640665
chr1	27105491	27105662	ARID1A	1644	0.31461134
chr1	27105721	27107260	ARID1A	17017	-0.36132727
chr1	29016631	29016704	GMEB1	257	-0.71797586
chr1	29016731	29016802	GMEB1	411	2.826624
chr1	36931672	36932548	CSF3R	9047	-0.50195469
chr1	36932797	36932945	CSF3R	711	-0.8115303
chr1	36933132	36933279	CSF3R	890	-0.46331979
chr1	36933397	36933602	CSF3R	1792	0.022013542
chr1	36933652	36933860	CSF3R	1474	-0.40805039
chr1	36934722	36934872	CSF3R	865	-0.45267651
chr1	36935227	36935479	CSF3R	1936	-0.32035993
chr1	36937012	36937290	CSF3R	2202	-0.24282984
chr1	36937622	36937775	CSF3R	1425	0.20790001
chr1	36937817	36938024	CSF3R	1409	-0.33919303
chr1	36938092	36938300	CSF3R	804	-1.1655565
chr1	36939012	36939262	CSF3R	2241	-0.070681336
chr1	36939342	36939515	CSF3R	1542	-0.053261258
chr1	36940942	36941304	CSF3R	3422	-0.23538737
chr1	36943182	36943330	CSF3R	1356	0.5191119
chr1	36944982	36945139	CSF3R	1173	-0.18447377
chr1	38304385	38304456	MTF1	306	0.56451598
chr1	40363009	40363757	MYCL	9307	-0.26606703
chr1	40364284	40364804	MYCL	5523	-0.23534397
chr1	40365259	40367605	MYCL	21465	-0.087725921
chr1	43803474	43803631	MPL	1279	-0.0030653295
chr1	43803744	43803920	MPL	1640	0
chr1	43804179	43804428	MPL	3016	0.33524185
chr1	43804909	43805275	MPL	2793	-0.5911462
chr1	43805599	43805680	MPL	840	0.037895138
chr1	43805689	43805836	MPL	1351	0.093581686
chr1	43806034	43806221	MPL	1801	0.11848429
chr1	43812084	43812336	MPL	2538	0.10195314
chr1	43812429	43812647	MPL	1772	-0.25540395
chr1	43814479	43814698	MPL	1697	0.050109585
chr1	43814899	43815054	MPL	1532	0.31763236
chr1	43817889	43817988	MPL	886	0.16379699
chr1	43818154	43818482	MPL	3610	0.024086679
chr1	45794955	45795119	MUTYH	1864	0.46508287
chr1	45796125	45796278	MUTYH	1005	-0.38807299
chr1	45796825	45797037	MUTYH	2332	0.14246337
chr1	45797060	45797245	MUTYH	1692	0.18656968
chr1	45797300	45797560	MUTYH	2166	-0.11530962
chr1	45797655	45798020	MUTYH	3657	-0.15535614
chr1	45798030	45798185	MUTYH	1731	0.43577214
chr1	45798210	45798683	MUTYH	4712	-0.31406865
chr1	45798730	45798871	MUTYH	1574	0.31535454
chr1	45798905	45799041	MUTYH	2516	1.005201
chr1	45799060	45799347	MUTYH	3700	0.32667695
chr1	45800030	45800224	MUTYH	2007	0.24700541
chr1	45805525	45805806	MUTYH	1979	-0.12848949
chr1	45805835	45805980	MUTYH	1392	0.44782435
chr1	46713995	46714148	RAD54L	1790	0.4660428
chr1	46714155	46714293	RAD54L	1360	0.11365197
chr1	46715650	46715836	RAD54L	973	-0.6784806
chr1	46724305	46724440	RAD54L	425	1.2019412
chr1	46725600	46725794	RAD54L	1459	-0.23492972
chr1	46726175	46726319	RAD54L	1941	0.72927352
chr1	46726370	46726721	RAD54L	3797	-0.053991302
chr1	46726910	46727087	RAD54L	1781	0.20732995
chr1	46733105	46733321	RAD54L	2023	0.030782498
chr1	46736305	46736490	RAD54L	1138	-0.42219782
chr1	46738090	46738248	RAD54L	1561	1.3878944
chr1	46738310	46738381	RAD54L	1252	1.3329833
chr1	46738405	46738480	RAD54L	1101	1.0911547
chr1	46739010	46739160	RAD54L	2112	0.74901431
chr1	46739270	46739438	RAD54L	2041	0.49968958
chr1	46739775	46739909	RAD54L	1353	0.24943321
chr1	46740185	46740427	RAD54L	2153	-0.065228367
chr1	46743455	46743681	RAD54L	2942	0.44116892
chr1	46743710	46743975	RAD54L	3146	0.33105634
chr1	51436010	51436189	CDKN2C	1126	-0.48907273
chr1	51439535	51439952	CDKN2C	3013	-0.71813136
chr1	59247721	59248108	JUN	5729	0.33263672
chr1	59248131	59248305	JUN	1674	0.40691442
chr1	59248316	59248776	JUN	5273	-0.016592374
chr1	65300217	65300349	JAK1	79	0.25832932
chr1	65301047	65301221	JAK1	1245	1.2366954
chr1	65301757	65301935	JAK1	390	0.079988133
chr1	65303592	65303795	JAK1	1302	-0.0063072051
chr1	65304112	65304302	JAK1	519	2.2625104
chr1	65305252	65305515	JAK1	2607	0.26508933
chr1	65306902	65307035	JAK1	2198	1.4461323
chr1	65307107	65307318	JAK1	2522	0.44444727
chr1	65309722	65309940	JAK1	2806	0.40033887
chr1	65310412	65310587	JAK1	1620	-0.037961292
chr1	65311162	65311353	JAK1	1692	0.10279568
chr1	65312302	65312445	JAK1	2352	0.87460497
chr1	65313192	65313402	JAK1	2489	0.30501233
chr1	65316452	65316634	JAK1	1671	-0.0046570584
chr1	65321167	65321414	JAK1	2581	0.15983066
chr1	65323317	65323491	JAK1	1823	0.15984791
chr1	65325757	65325973	JAK1	1905	-0.13405244
chr1	65330437	65330641	JAK1	947	2.0716423
chr1	65332517	65332919	JAK1	2401	1.1389933
chr1	65334962	65335180	JAK1	1799	-0.1768809
chr1	65339017	65339243	JAK1	2497	0.66046555
chr1	65344682	65344849	JAK1	1166	-0.17486574
chr1	65348937	65349191	JAK1	1648	-0.63166881
chr1	65351912	65352043	JAK1	117	0.67653464
chr1	66037892	66037969	LEPR	76	0.71752937
chr1	78034082	78034152	ZZZ3	8	-1.5951152
chr1	78034172	78034239	ZZZ3	10	-1.37177
chr1	78413147	78413290	FUBP1	118	-2.3783029
chr1	78413557	78414303	FUBP1	277	-0.54048121
chr1	78414327	78414496	FUBP1	109	0.59703845
chr1	78414812	78415016	FUBP1	828	-0.79531942
chr1	78420902	78421004	FUBP1	80	-0.066713194
chr1	78422222	78422407	FUBP1	974	0.31566409
chr1	78425832	78425973	FUBP1	1030	0.24967241
chr1	78426007	78426208	FUBP1	1535	-0.18969085
chr1	78428432	78428641	FUBP1	166	-0.22727587
chr1	78429232	78429405	FUBP1	650	-0.058233086
chr1	78429722	78429858	FUBP1	269	0.0029699196
chr1	78429907	78430057	FUBP1	173	0.76145865
chr1	78430307	78430442	FUBP1	178	-0.63786796
chr1	78430532	78430671	FUBP1	559	1.2812738
chr1	78430727	78430927	FUBP1	927	0.47487155
chr1	78432327	78432461	FUBP1	206	0.90619762
chr1	78432532	78432639	FUBP1	72	-2.0098032
chr1	78432687	78432824	FUBP1	26	-0.79706571
chr1	78433257	78433358	FUBP1	64	-1.4934646
chr1	78433797	78433930	FUBP1	49	0.10669459
chr1	78434662	78434796	FUBP1	101	-0.92675102
chr1	78435572	78435681	FUBP1	36	-0.96131024
chr1	78444537	78444730	FUBP1	2593	0.64142971
chr1	97547862	97548016	rs67376798	192	-0.61095212
chr1	97915537	97915685	rs3918290	263	0.74743751
chr1	97981272	97981420	rs55886062	348	-0.52861818
chr1	98164957	98165163	rs2297595	470	-0.59997172
chr1	98348802	98348948	rs1801265	200	-0.26520853
chr1	100661907	100661985	DBT	57	-2.4226417
chr1	110230421	110230499	COSM5045664	285	-1.4681938
chr1	110230501	110230572	COSM5045664	262	-1.1941732
chr1	110231796	110231956	GSTM1	424	-1.623931
chr1	110233046	110233151	COSM3676668	688	-0.10392997
chr1	115251123	115251297	NRAS	592	0.77055491
chr1	115252158	115252372	NRAS	2401	1.0865716
chr1	115256398	115256631	NRAS	660	-1.1418367
chr1	115258638	115258818	NRAS	2030	0.36118788
chr1	118165467	118166690	FAM46C	14684	-0.407801
chr1	120457895	120459347	NOTCH2	14193	-0.57553426
chr1	120460260	120460407	NOTCH2	1329	0.36384246
chr1	120460995	120461219	NOTCH2	1766	-0.24691904
chr1	120461900	120462260	NOTCH2	2169	-0.94229726
chr1	120462830	120463049	NOTCH2	1933	-0.12734733
chr1	120464305	120464447	NOTCH2	1281	0.7248798
chr1	120464825	120465084	NOTCH2	2157	-0.18115844
chr1	120465235	120465440	NOTCH2	2493	0.4010082
chr1	120466225	120466616	NOTCH2	4685	-0.0062863258
chr1	120467895	120468459	NOTCH2	4777	-0.68416026
chr1	120469095	120469246	NOTCH2	792	-0.71174511
