gene	mean_log2ND	std_log2ND	median_log2ND	R-181108-995555-BLD-101100_BC_E18111102-16-DNA_F1811112948-6_L181111-00002-A4_20181113-C11_panel12_P181114419-3_sample20181114-A3-A00168-log2_ND	R-RZ	R-CopyRatio
TNFRSF14	0.024225252	0.1038003	0.048279189	-0.12213772	-1.4100438	-0.22609632
TNFRSF14	-0.21581017	0.04817016	-0.21512035	-0.14650202	1.4388192	0.012938923
TNFRSF14	-0.15303697	0.059516353	-0.14675391	-0.027738788	2.1052732	0.063335716
TNFRSF14	-0.17638346	0.53690858	-0.26320142	-0.53222712	-0.66276397	-0.32470511
TNFRSF14	-0.57311212	0.09707305	-0.56503291	-0.58913039	-0.16501252	-0.079776885
TNFRSF14	-0.60969772	0.22567056	-0.64336317	-0.40533993	0.90555804	0.18234383
TNFRSF14	0.56556801	0.10932938	0.58318754	0.43631388	-1.1822452	-0.20255307
TNFRSF14	-0.1972259	0.052218937	-0.19197191	0.059488945	4.9161255	0.19578145
ERRFI1	0.45055742	0.27768436	0.39938634	0.506728	0.20228213	0.051662258
ERRFI1	-0.050764307	0.44226116	-0.1277513	-0.28204275	-0.52294541	-0.20997086
ERRFI1	0.22398337	0.090262907	0.23092439	0.88274461	7.2982498	0.59614082
ERRFI1	0.28615357	0.05953005	0.27929859	0.48894594	3.4065546	0.15396794
MTOR	-0.013095389	0.47550353	-0.091790656	-0.12255004	-0.23018682	-0.086438786
MTOR	-0.42207713	0.067541605	-0.41272501	-0.078542019	5.086274	0.27850359
MTOR	0.27992029	0.13281689	0.30464255	0.90401591	4.6989176	0.54369396
MTOR	0.11485325	0.098714476	0.13063388	0.52334008	4.1380641	0.33702679
MTOR	0.20426349	0.08846237	0.20717686	0.22843857	0.27328094	-0.034417696
MTOR	-0.68422866	0.048983307	-0.69118658	-0.46063676	4.5646551	0.17487042
MTOR	0.036958019	0.13084126	0.05227215	0.75427808	5.482369	0.64632653
MTOR	0.09568641	0.074691968	0.10742552	0.083248211	-0.16652659	-0.079856715
MTOR	-0.067323189	0.11489564	-0.05332794	-0.046507748	0.18116824	-0.048859214
MTOR	-0.68996108	0.049352134	-0.68508981	-0.55493593	2.7359536	0.074474472
MTOR	0.019441637	0.053717291	0.023398328	0.15979752	2.6128624	0.080719791
MTOR	-0.17393826	0.057649276	-0.17986591	0.014541843	3.2694271	0.13872835
MTOR	0.057326634	0.050467282	0.058466777	0.17140461	2.2604343	0.057258425
MTOR	0.11695139	0.056199201	0.12113616	0.27790754	2.8640292	0.10109198
MTOR	-0.16400733	0.08468015	-0.16713529	-0.063255897	1.1897881	0.048199987
MTOR	-0.094672799	0.069936821	-0.097258565	0.10395475	2.8400997	0.14553391
MTOR	-0.26446756	0.089009531	-0.24885235	-0.15373498	1.244053	0.039437962
MTOR	-0.47810681	0.11210386	-0.45746856	-0.19276232	2.5453583	0.20902684
MTOR	-0.2253833	0.095239646	-0.21653069	-0.029763702	2.0539723	0.13108758
MTOR	0.62578836	0.18500604	0.60313624	0.49598335	-0.70162579	-0.1628323
MTOR	0.12744345	0.040048574	0.12972966	0.30481481	4.4289057	0.11940574
MTOR	-0.23989322	0.055289022	-0.23075206	-0.081268221	2.8690144	0.093804433
MTOR	-0.057474482	0.082578593	-0.059893539	0.31341754	4.4913822	0.31763168
MTOR	-0.2743685	0.043286789	-0.26908257	-0.10481902	3.9168874	0.10858414
MTOR	-0.030019803	0.048777652	-0.034933579	0.060397764	1.8536679	0.039651937
MTOR	-0.49918912	0.11511644	-0.47806064	-0.34467407	1.3422501	0.077707164
MTOR	-0.52564972	0.098044539	-0.49951102	-0.43658798	0.90838047	0.0072436387
MTOR	-0.25871929	0.10289547	-0.23806766	-0.15811763	0.9777074	0.024270627
MTOR	0.25192128	0.059020284	0.25733291	0.42868615	2.994985	0.11567383
MTOR	-1.3044145	0.1128386	-1.284784	-0.93484818	3.2751764	0.29425641
MTOR	0.18602738	0.043596789	0.18178485	-0.26904456	-10.438198	-0.50650881
MTOR	-0.05790878	0.065933503	-0.065394064	0.25930746	4.8111541	0.26902212
MTOR	-0.24055344	0.074341196	-0.24430867	-0.52923275	-3.8831674	-0.34060348
MTOR	0.28487282	0.044996969	0.28239524	0.4865259	4.4814814	0.14845126
MTOR	-0.72426753	0.13913489	-0.69425669	-0.022118327	5.0465358	0.61645896
MTOR	-0.28545159	0.083017408	-0.28126743	-0.24815102	0.44931027	-0.022562992
MTOR	-0.68965544	0.060524241	-0.6846469	-0.76601559	-1.2616457	-0.13704809
MTOR	-0.84349185	0.075372856	-0.85379443	-0.64801872	2.5934154	0.1500963
MTOR	-0.46706108	0.11893812	-0.46498708	-0.030192928	3.6730709	0.37911475
MTOR	-0.22141962	0.16914438	-0.24972561	-0.23283012	-0.067460127	-0.038783917
MTOR	-0.03112332	0.05946751	-0.011536803	-0.075333835	-0.74343982	-0.11947644
MTOR	-0.32393181	0.062296531	-0.31683983	-0.17237506	2.432828	0.08878536
MTOR	-0.73503076	0.14458189	-0.73077676	0.052107556	5.4442387	0.72720491
MTOR	0.16611513	0.10398146	0.17324071	-0.42544	-5.6890443	-0.65436012
MTOR	-0.35219358	0.043672927	-0.34675298	-0.7081701	-8.1509654	-0.41709652
MTOR	-0.32159628	0.088110778	-0.33292299	-0.15462663	1.8949969	0.12261695
MTOR	-0.26718571	0.1188442	-0.29146553	-0.17814362	0.74923375	0.0576425
MTOR	-0.21149855	0.12769638	-0.23827643	-0.28408393	-0.56842156	-0.1014869
MTOR	-0.83805066	0.035804409	-0.84501097	-0.79615209	1.1702071	-0.0068205227
MTOR	-0.067703006	0.080420172	-0.080629034	-0.1089892	-0.51338101	-0.084039567
MTOR	0.17065992	0.055212439	0.17807827	0.18631657	0.28357102	-0.047441108
MTOR	0.032213846	0.17471547	0.0051913202	-0.11222005	-0.82668064	-0.17309078
MTOR	0.3853104	0.052606593	0.38207216	0.55256445	3.1793363	0.11481288
MTOR	-0.647403	0.23166775	-0.68576909	-0.78585069	-0.59761312	-0.155761
MTOR	-0.18204203	0.10571391	-0.19243001	-0.24405636	-0.5866241	-0.10730575
MTOR	-0.36706061	0.10621375	-0.35791838	0.33618064	6.6210001	0.63841961
MTOR	0.38793816	0.055025281	0.37990027	0.57196664	3.3444351	0.13638697
rs1801131	0.10042616	0.10725051	0.099125457	0.27321988	1.6111226	0.11841502
rs1801133	-0.39467341	0.10263854	-0.38166679	-0.11219481	2.7521689	0.21379257
PDPN	-1.4698245	0.24274602	-1.4313053	-2.0943722	-2.5728442	-0.71874631
SPEN	-0.5537045	0.12030489	-0.53463757	-0.33475812	1.8199292	0.14420005
SPEN	0.21173945	0.60972932	0.087812736	0.28878773	0.12636473	0.14529559
